sample_id,vuln_id,cve_id,package,ecosystem,severity,function_name,num_functions_extracted,confidence_tier,ghsa_url,fix_commit_url,vulnerability_summary,fix_description,collaborator_verdict,collaborator_reasoning
14,GHSA-3xgq-45jj-v275,CVE-2024-21538,cross-spawn,npm,HIGH,escapeArgument,1,High,https://github.com/advisories/GHSA-3xgq-45jj-v275,https://github.com/moxystudio/node-cross-spawn/commit/5ff3a07d9add449021d806e45c4168203aa833ff,"ReDoS vulnerability in cross-spawn caused by improper input sanitization in argument escaping logic. Crafted input strings cause catastrophic backtracking in a regex, crashing the application.",Fix improves regex handling in escapeArgument function to prevent catastrophic backtracking. Fixed in 7.0.5 and 6.0.6.,central,escapeArgument is use to stop the backtracking.
1,GHSA-v845-jxx5-vc9f,CVE-2023-43804,urllib3,pypi,HIGH,Retry,1,High,https://github.com/advisories/GHSA-v845-jxx5-vc9f,https://github.com/urllib3/urllib3/commit/01220354d389cd05474713f8c982d05c9b17aafb,"Cookie HTTP header not stripped during cross-origin redirects, potentially leaking sensitive authentication cookies to unintended third-party hosts.","Adds Cookie to DEFAULT_REMOVE_HEADERS_ON_REDIRECT list in the Retry class, ensuring Cookie headers are stripped on cross-origin redirects. Fixed in v1.26.17 and v2.0.6.",central,"The Retry class is where DEFAULT_REMOVE_HEADERS_ON_REDIRECT was modified to strip Cookie headers, matching the fix directly."
25,GHSA-cpwx-vrp4-4pq7,CVE-2025-27516,jinja2,pypi,MODERATE,do_reverse,1,High,https://github.com/advisories/GHSA-cpwx-vrp4-4pq7,https://github.com/pallets/jinja/commit/90457bbf33b8662926ae65cdde4c4c32e756e403,"Sandbox escape in Jinja2 where the |attr filter bypasses sandboxed environment attribute lookup restrictions, allowing execution of arbitrary Python code. NOTE: The advisory primarily concerns the do_attr function (|attr filter), not do_reverse.",Fix modifies do_attr in src/jinja2/filters.py to ensure |attr filter delegates to environment's attribute lookup and sandbox security checks. Fixed in Jinja2 v3.1.6.,Tangential,"The advisory's own note says the primary fix is in do_attr, not do_reverse; the extracted function isn't the one that gates the sandbox check."
23,GHSA-v6h2-p8h4-qcjw,CVE-2025-5889,brace-expansion,npm,LOW,expand,1,High,https://github.com/advisories/GHSA-v6h2-p8h4-qcjw,https://github.com/juliangruber/brace-expansion/commit/a5b98a4f30d7813266b221435e1eaaf25a1b0ac5,"ReDoS vulnerability caused by inefficient regex /,.*}/ in expand() function susceptible to catastrophic backtracking on crafted long input strings.",Replaces vulnerable regex with more performant version adding negative lookahead to prevent excessive backtracking.,Central,expand() is the function containing the vulnerable regex and is the one rewritten to add the negative lookahead.
35,GHSA-vh95-rmgr-6w4m,CVE-2020-7598,minimist,npm,MODERATE,hasKey,1,High,https://github.com/advisories/GHSA-vh95-rmgr-6w4m,https://github.com/minimistjs/minimist/commit/63e7ed05aa4b1889ec2f3b196426db4500cbda94,"Prototype pollution: attacker can inject properties onto Object.prototype via crafted CLI arguments (e.g. --__proto__.polluted=true), leading to DoS or property injection.","Adds checks to prevent setting properties on __proto__, constructor, and prototype keys during argument parsing. Fixed in v1.2.2/v0.2.1 (later more complete fix in v1.2.6+).",Central,hasKey is the guard function directly modified to block writes to __proto__/constructor/prototype during argument parsing.
10,GHSA-xxjr-mmjv-4gpg,CVE-2025-13465,lodash,npm,MODERATE,Ye,3,Medium,https://github.com/advisories/GHSA-xxjr-mmjv-4gpg,N/A - fix in lodash 4.17.23 release,Prototype pollution in lodash's _.unset and _.omit: crafted paths (e.g. __proto__.toString) delete properties from global prototypes. Internal baseUnset function lacked path validation.,baseUnset updated to block access to __proto__ and constructor before unset/omit. NOTE: 'Ye' is a minified identifier from lodash.min.js — not a named source function.,Noise,"The summary explicitly flags Ye as a minified identifier from lodash.min.js, not a semantically meaningful source function."
9,GHSA-www2-v7xj-xrc6,CVE-2018-20060,urllib3,pypi,CRITICAL,urlopen,3,Medium,https://github.com/advisories/GHSA-www2-v7xj-xrc6,https://github.com/urllib3/urllib3/commit/3d7f98b07b6e6e04c2e89cdf5afb18024a2d804c,"Authorization header not stripped on cross-origin redirects (different host/port/scheme), exposing credentials to unintended third-party hosts.",Adds logic to detect cross-origin redirects and strip sensitive headers (especially Authorization) before following. Fixed in urllib3 1.23.,Central,urlopen is the request path where the Authorization-header-stripping logic for cross-origin redirects was added.
43,GHSA-w8qv-6jwh-64r5,CVE-2021-23364,browserslist,npm,MODERATE,sinceQuery,3,Medium,https://github.com/advisories/GHSA-w8qv-6jwh-64r5,https://github.com/browserslist/browserslist/commit/c091916910dfe0b5fd61caad96083c6709b02d98,"ReDoS in browserslist v4.0.0–4.16.4: crafted query string causes catastrophic regex backtracking in the query parser (including the sinceQuery path), hanging the application.",Modifies regexes in query parsing logic to eliminate catastrophic backtracking patterns. Fixed in v4.16.5.,Tangential,"sinceQuery is one path touched by the regex fix, but the fix spans the broader query parser rather than being specific to this single function."
7,GHSA-wqvq-5m8c-6g24,CVE-2020-26137,urllib3,pypi,MODERATE,connect,3,Medium,https://github.com/advisories/GHSA-wqvq-5m8c-6g24,https://github.com/urllib3/urllib3/commit/1dd69c5c5982fae7c87a620d487c2ebf7a6b436b,"CRLF injection: attacker controlling the HTTP request method can inject CR/LF characters into putrequest() (called by connect/request code paths), enabling HTTP request smuggling or header injection.",Introduces regex-based validation in src/urllib3/connection.py to check HTTP method for CRLF control characters and raises ValueError if found. Fixed in v1.25.9.,Central,"connect() is where the CRLF-injection-prone HTTP method reaches putrequest(), and the fix's regex validation sits in this code path."
39,GHSA-952p-6rrq-rcjv,CVE-2024-4067,micromatch,npm,MODERATE,isEmptyString,4,Medium,https://github.com/advisories/GHSA-952p-6rrq-rcjv,https://github.com/micromatch/micromatch/commit/03aa8052171e878897eee5d7bb2ae0ae83ec2ade,ReDoS in micromatch's braces() function in index.js: greedy .* pattern causes excessive backtracking on malicious payloads with unclosed brackets. isEmptyString check is part of the affected code path.,Tightens the greedy .* regex in brace expansion logic to prevent catastrophic backtracking. Fixed in v4.0.8.,Tangential,"isEmptyString is noted as merely part of the affected code path, not the function containing the greedy backtracking pattern in braces()."
