vuln_id,ecosystem,num_extracted_functions,extracted_functions,ground_truth_functions,notes
GHSA-f886-m6hf-6m8v,npm,1,expand,expand,"index.js expand(); zero-step DoS fix. Match."
GHSA-xxjr-mmjv-4gpg,npm,3,Ye; Xc; Vo,baseUnset,"dist/lodash.js baseUnset() proto-pollution guard. Extracted Ye/Xc/Vo are minified dist/lodash.min.js identifiers = miss."
GHSA-v6x2-2qvm-6gv8,npm,1,trimToUndefined,buildSystemPrompt; resolveOwnerDisplaySetting; ensureOwnerDisplaySecret; trimToUndefined; compactEmbeddedPiSessionDirect; runEmbeddedAttempt; createConfigIO,"owner-display fix across 4 source files. Extracted 1 of 7."
GHSA-cph5-m8f7-6c5x,npm,4,toFiniteNumber,trim,"lib/utils.js trim() ReDoS fix. Extracted toFiniteNumber = miss (unrelated function)."
GHSA-w8qv-6jwh-64r5,npm,3,sinceQuery,nodeQuery; sinceQuery; coverQuery,"index.js: unsafe regexps split; select logic extracted into 3 named fns. Anonymous QUERIES selects also refactored."
GHSA-23c5-xmqv-rm74,npm,1,partsToRegExp,isExtglobType; isExtglobAST; parseAST; canAdopt; canAdoptType; adopt; flatten; fromGlob; toRegExpSource; partsToRegExp,"src/ast.ts large refactor (extglob recursion limit). #parts->parts rename also touched constructor/hasMagic/toString/copyIn/toJSON/isStart/isEnd/clone."
GHSA-v6h2-p8h4-qcjw,npm,1,expand,expand,"index.js expand() ReDoS fix. Match."
GHSA-cgwc-qvrx-rf7f,pypi,1307,__post_init__; changes,,"N/A: fix commit 330af381 REMOVES the entire lightning app (1307 functions deleted); no isolated vulnerable function. Recommend excluding from recall or handling separately."
GHSA-jg4f-jqm5-4mgq,pypi,3,_parse_returned_data,all; _parse_returned_data,"plugins/__init__.py all(); action/__init__.py _parse_returned_data. Extracted _parse_returned_data = match (1 of 2)."
GHSA-jqqh-999x-w26w,pypi,1,body,body,"status/web/waterfall.py body() XSS escape fix. Match."
GHSA-wqvq-5m8c-6g24,pypi,3,connect,putrequest,"connection.py: putrequest() added to reject CRLF in method. Extracted connect = hunk-context miss (connect precedes putrequest)."
GHSA-pm87-24wq-r8w9,pypi,3,reset_user_sessions,reset_password; reset_user_sessions,"fab security_manager override.py: reset_user_sessions added, reset_password modified to call it. Extracted reset_user_sessions = match (1 of 2)."
GHSA-47wv-vhj2-g66m,pypi,1,generate_jsrun_rankfile,generate_jsrun_rankfile,"js_run.py mktemp->mkstemp. Test util temppath excluded. Match."
GHSA-48p4-8xcf-vxj5,pypi,3,has_jspi,send_jspi_request; _is_node_js,"emscripten/fetch.py: _is_node_js added, send_jspi_request modified. Extracted has_jspi = hunk-context miss."
GHSA-5jqp-qgf6-3pvh,pypi,1,get_numeric,from_unix_seconds,"datetime_parse.py from_unix_seconds() infinity guard. Extracted get_numeric = hunk-context miss (precedes from_unix_seconds)."
GHSA-hwvq-6gjx-j797,pypi,3,finalize_options,sanitize_html; sanitizeAttribs; sanitize_css; sanitize_stylesheets; find_package_data; should_run; run,"security.js (sanitize_html rewritten; 3 caja helpers deleted) + setupbase.py (find_package_data/should_run/run). Extracted finalize_options = hunk-context miss."
GHSA-gm62-xv2j-4w53,pypi,1,MultiDecoder,__init__,"response.py MultiDecoder.__init__ chain-length limit (+max_decode_links class attr). Extracted MultiDecoder = class name (partial)."
GHSA-j8r2-6x86-q33q,pypi,1,rebuild_proxies,rebuild_proxies,"sessions.py rebuild_proxies() Proxy-Authorization leak fix. Match."
GHSA-8fg9-p83m-x5pq,pypi,2,parse_index_server,parse_index_server,"parser.py parse_index_server() ReDoS fix; regex.py URL_REGEX removed = module-level (not a function). Match."
GHSA-5jrj-52x8-m64h,pypi,31,_flip_comparison_op,_build_adhoc_slice_node; _build_create_IR; _helper; build_IR,"builtins/functions.py sqrt/slice multi-eval fix. Extracted _flip_comparison_op = miss (absent from diff)."
