vuln_id,ecosystem,package,num_extracted_functions,extracted_functions,source_repo,ghsa_url,ground_truth_functions,notes
GHSA-3xgq-45jj-v275,npm,cross-spawn,1,escapeArgument,moxystudio/node-cross-spawn,https://github.com/advisories/GHSA-3xgq-45jj-v275,escapeArgument,"Rewrites the backslash-matching regexes in escapeArgument (lib/util/escape.js) to avoid catastrophic backtracking, fixing the ReDoS."
GHSA-wqch-xfxh-vrr4,npm,body-parser,1,createQueryParser,expressjs/body-parser,https://github.com/advisories/GHSA-wqch-xfxh-vrr4,parameterCount,"Rewrites parameterCount (lib/types/urlencoded.js) to count '&' separators with an early exit once the limit is exceeded, instead of splitting the whole body, mitigating the DoS."
GHSA-6rw7-vpxm-498p,npm,qs,1,parseObject,ljharb/qs,https://github.com/advisories/GHSA-6rw7-vpxm-498p,"parseValues; parseObject; combine; merge; markOverflow; isOverflow; getMaxIndex; setMaxIndex","Enforces arrayLimit for bracket notation by tracking overflow objects via a side-channel (new markOverflow/isOverflow/getMaxIndex/setMaxIndex in utils.js) and converting oversized arrays to objects in combine/merge, so parse.js parseValues/parseObject no longer grow unbounded arrays."
GHSA-vh95-rmgr-6w4m,npm,minimist,1,hasKey,minimistjs/minimist,https://github.com/advisories/GHSA-vh95-rmgr-6w4m,setKey,"Guards __proto__ and prototype objects (Object/Number/String/Array.prototype) inside setKey (index.js) to prevent prototype pollution from crafted argument names like --__proto__.x."
GHSA-pxg6-pf52-xh8x,npm,cookie,1,serialize,jshttp/cookie,https://github.com/advisories/GHSA-pxg6-pf52-xh8x,serialize,"serialize (index.js) now validates name, value, path and domain against dedicated RFC 6265 character-set regexes instead of the loose fieldContent regex, preventing injection of extra cookie attributes via the name/path/domain fields."
GHSA-74fj-2j2h-c42q,npm,follow-redirects,3,"RedirectableRequest; write; end",follow-redirects/follow-redirects,https://github.com/advisories/GHSA-74fj-2j2h-c42q,_processResponse,"RedirectableRequest.prototype._processResponse (index.js) now also drops the Cookie header (not just Authorization) when redirecting to a different host, preventing cross-domain leakage of confidential headers."
GHSA-952p-6rrq-rcjv,npm,micromatch,4,"isEmptyString; parse; scan; picomatch",micromatch/micromatch,https://github.com/advisories/GHSA-952p-6rrq-rcjv,"braces; hasBraces; isObject; isEmptyString","Replaces the greedy /\{.*\}/ brace test in micromatch.braces (index.js) with a linear hasBraces() scan (new helper), fixing the ReDoS; also adds isObject and reformats isEmptyString."
GHSA-gcfr-3v94-fvhp,npm,rollup,4,"addModuleToManualChunk; generateBundle; transform; load",rollup/rollup,https://github.com/advisories/GHSA-gcfr-3v94-fvhp,,"UNVERIFIED: advisory ID GHSA-gcfr-3v94-fvhp returns no results in OSV, the GitHub advisory API, or web search, so the fix commit could not be located or its diff inspected. Likely a mistyped or unpublished ID (note: the real recent rollup advisory is GHSA-mw96-cpmx-2vgc / CVE-2026-27606, a path-traversal issue in sanitizeFileName, which does not match the extracted manualChunks functions). Needs a corrected GHSA ID to fill."
GHSA-3p68-rc4w-qgx5,npm,axios,6,"isLoopbackHost; isValidLocalAddress; buildProxy; getProxyForUrl; resolveProxy; shouldProxy",axios/axios,https://github.com/advisories/GHSA-3p68-rc4w-qgx5,"setProxy; httpAdapter; dispatchRequest; sanitizeHeaderValue; shouldBypassProxy; parseNoProxyEntry; normalizeNoProxyHost; isLoopbackIPv4; isLoopbackHost","Adds helpers/shouldBypassProxy.js that normalizes hostnames (strips trailing dots, unwraps IPv6 brackets, treats localhost/127.0.0.1/::1 as equivalent) before NO_PROXY matching; setProxy/httpAdapter (adapters/http.js) use it to fix the proxy-bypass SSRF. The same commit also adds helpers/sanitizeHeaderValue.js wired into dispatchRequest to strip invalid header characters."
GHSA-v845-jxx5-vc9f,pypi,urllib3,1,Retry,urllib3/urllib3,https://github.com/advisories/GHSA-v845-jxx5-vc9f,Retry,"Adds 'Cookie' to Retry.DEFAULT_REMOVE_HEADERS_ON_REDIRECT (util/retry.py) so the Cookie header is stripped on cross-host redirects. The change is to the Retry class constant; no method body is modified."
GHSA-34jh-p97f-mpxf,pypi,urllib3,1,Retry,urllib3/urllib3,https://github.com/advisories/GHSA-34jh-p97f-mpxf,Retry,"Adds 'Proxy-Authorization' to Retry.DEFAULT_REMOVE_HEADERS_ON_REDIRECT (util/retry.py) so it is stripped on cross-origin redirects. The change is to the Retry class constant; no method body is modified."
